drug,feature,stability,mean_chi2_when_selected,category,evidence,mechanism,source
AMP,GXH02_05140,1.0,310.7117015832442,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,group_8256,1.0,242.99514790787907,unknown_roary_group,unknown,Roary pangenome group không tên — cần sequence,accessory_stability
AMP,FKE51_24750,1.0,254.19403090122324,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,IYQ21_004620,1.0,245.2146519614026,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,EGD39_24080,1.0,248.8804516600754,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,BW098_21290,1.0,252.71289939275798,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,K9P60_004739,1.0,231.0175587279561,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,GXL76_24340,1.0,231.0175587279561,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,IHX02_004460,1.0,252.71289939275798,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,NIO22_003658,0.96,227.27682871164936,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,CGT24_24070,0.96,227.27682871164936,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,CAD01_23650,0.96,227.5391292529707,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,C3006_19210,0.96,229.7966378099751,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,C2484_18900,0.96,227.71226790592763,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,B5A41_24415,0.96,227.47300969209073,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,GOO02_003646,0.96,228.4059774773739,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,C3006_19255,0.92,223.600760605578,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,GXG79_15935,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,GXH02_05140,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,FKE51_24750,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,CKP39_24515,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,GRX98_004990,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,GR980_004996,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,6691,,,unknown_numeric,unknown,cột số không tên — cần sequence,paper_ready50
AMP,6548,,,unknown_numeric,unknown,cột số không tên — cần sequence,paper_ready50
AMP,F0X87_13980,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,DQO94_13740,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,581705,,,unknown_numeric,unknown,cột số không tên — cần sequence,paper_ready50
AMP,group_3068,,,unknown_roary_group,unknown,Roary pangenome group không tên — cần sequence,paper_ready50
AMP,151661,,,unknown_numeric,unknown,cột số không tên — cần sequence,paper_ready50
AMP,272748,,,unknown_numeric,unknown,cột số không tên — cần sequence,paper_ready50
AMP,272351,,,unknown_numeric,unknown,cột số không tên — cần sequence,paper_ready50
AMP,CJW30_15375,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,KVA68_000891,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,C3Z98_07695,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,pcoS,,,copper,indirect,copper resistance (co-selection),paper_ready50
AMP,GWJ32_24720,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,merT,,,mercury,indirect,mercury resistance operon (co-selection marker),paper_ready50
AMP,GRX98_002223,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,K1191_001114,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,HF382_002470,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,134692,,,unknown_numeric,unknown,cột số không tên — cần sequence,paper_ready50
AMP,1023070,,,unknown_numeric,unknown,cột số không tên — cần sequence,paper_ready50
AMP,177156,,,unknown_numeric,unknown,cột số không tên — cần sequence,paper_ready50
AMP,602799,,,unknown_numeric,unknown,cột số không tên — cần sequence,paper_ready50
AMP,JWS55_001066,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,HF382_003966,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,GP118_004663,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,CIH76_15790,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,GY313_005032,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,LRU76_002404,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,D1X50_19025,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,group_1769,,,unknown_roary_group,unknown,Roary pangenome group không tên — cần sequence,paper_ready50
AMP,I3Y90_004711,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,M8C94_004791,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,group_1740,,,unknown_roary_group,unknown,Roary pangenome group không tên — cần sequence,paper_ready50
AMP,L1T70_004522,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,GSC23_004988,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,K3989_004898,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,1474929,,,unknown_numeric,unknown,cột số không tên — cần sequence,paper_ready50
AMP,CIH76_24475,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,EWR70_05145,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,group_62,,,unknown_roary_group,unknown,Roary pangenome group không tên — cần sequence,paper_ready50
AMP,NCI49_001185,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AMP,sul1,,,sulfonamide,direct,dihydropteroate synthase / sulfonamide resistance,paper_ready50
AMP,group_69,,,unknown_roary_group,unknown,Roary pangenome group không tên — cần sequence,paper_ready50
AMP,GR980_004837,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,EEK86_04735,1.0,353.0945784088362,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,group_8256,1.0,370.0851483315114,unknown_roary_group,unknown,Roary pangenome group không tên — cần sequence,accessory_stability
AUG,FKE51_24750,1.0,388.2883505688533,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,GXH02_05140,1.0,401.3213239432584,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,GOO02_004997,0.96,328.81099618950844,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,CKP58_25195,0.96,322.74415484475185,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,DWF11_19130,0.96,322.74415484475185,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,C3004_18245,0.96,322.74415484475185,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,group_8997,0.96,322.74415484475185,unknown_roary_group,unknown,Roary pangenome group không tên — cần sequence,accessory_stability
AUG,IYQ21_004605,0.96,322.74415484475185,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,FRK71_15380,0.96,322.74415484475185,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,C2J16_23265,0.96,322.74415484475185,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,DKF47_19030,0.96,322.74415484475185,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,EGD39_22225,0.96,328.81099618950844,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,K3989_004263,0.96,322.74415484475185,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,C3Z97_24385,0.96,328.81099618950844,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,C3009_23215,0.96,322.74415484475185,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,GPA53_004685,0.96,328.81099618950844,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,IYQ21_004617,0.96,328.81099618950844,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,C0N02_22135,0.96,328.81099618950844,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,C3001_18290,0.96,328.81099618950844,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,IHX02_004460,0.96,328.81099618950844,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,K5U21_004471,0.96,317.39859398771983,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,BW098_21290,0.96,328.81099618950844,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,EGD39_24080,0.96,323.1921671260251,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,IYQ21_004620,0.96,316.8793392042117,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,HF382_002470,0.92,304.98201877773926,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,group_2239,0.88,296.4640527123551,unknown_roary_group,unknown,Roary pangenome group không tên — cần sequence,accessory_stability
AUG,C2O75_18625,0.84,297.81341733432845,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,K9P60_004739,0.8,298.8770420774011,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,GXL76_24340,0.8,298.8770420774011,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,I3040_004962,0.76,299.15093712313524,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,NIO22_003658,0.76,294.8768045875093,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,CGT24_24070,0.76,294.8768045875093,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,C2484_18900,0.72,287.95080780728216,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,CBU12_02120,0.72,289.9613533428727,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,CAD01_23650,0.68,295.72565320388424,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,C3006_19210,0.68,294.7374572083401,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,GOO02_003646,0.64,296.5054364854987,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,GXL71_23350,0.64,278.53335707225784,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AUG,GXG79_15935,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,GXH02_05140,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,FKE51_24750,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,EEK86_04735,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,581705,,,unknown_numeric,unknown,cột số không tên — cần sequence,paper_ready50
AUG,220963,,,unknown_numeric,unknown,cột số không tên — cần sequence,paper_ready50
AUG,LQX60_002464,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,HF382_002470,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,group_3068,,,unknown_roary_group,unknown,Roary pangenome group không tên — cần sequence,paper_ready50
AUG,lpfC,,,named_non_amr,unknown,gene có tên nhưng không thuộc catalog AMR đã biết,paper_ready50
AUG,group_62,,,unknown_roary_group,unknown,Roary pangenome group không tên — cần sequence,paper_ready50
AUG,1456743,,,unknown_numeric,unknown,cột số không tên — cần sequence,paper_ready50
AUG,KVA68_000891,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,DSP01_21310,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,GP118_004663,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,C2F11_24270,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,MRQ62_004481,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,group_1165,,,unknown_roary_group,unknown,Roary pangenome group không tên — cần sequence,paper_ready50
AUG,DT764_20815,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,IQT32_002542,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,GOQ48_003856,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,E6U56_16990,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,GV897_14725,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,CHU36_17600,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,1474929,,,unknown_numeric,unknown,cột số không tên — cần sequence,paper_ready50
AUG,K3989_004898,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,958328,,,unknown_numeric,unknown,cột số không tên — cần sequence,paper_ready50
AUG,CJW30_15375,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,1206089,,,unknown_numeric,unknown,cột số không tên — cần sequence,paper_ready50
AUG,GUE08_004754,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,FKE51_04470,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,GV972_03135,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,EIN40_09735,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,272748,,,unknown_numeric,unknown,cột số không tên — cần sequence,paper_ready50
AUG,GPA53_003853,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,2769761,,,unknown_numeric,unknown,cột số không tên — cần sequence,paper_ready50
AUG,11187,,,unknown_numeric,unknown,cột số không tên — cần sequence,paper_ready50
AUG,C2J53_21575,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,CHU55_23885,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,GPA51_000980,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,GPA53_003860,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,CHI38_16170,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,group_69,,,unknown_roary_group,unknown,Roary pangenome group không tên — cần sequence,paper_ready50
AUG,CIX38_05215,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,161400,,,unknown_numeric,unknown,cột số không tên — cần sequence,paper_ready50
AUG,group_683,,,unknown_roary_group,unknown,Roary pangenome group không tên — cần sequence,paper_ready50
AUG,K9P60_004749,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,CEQ84_22980,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,F0X87_13195,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AUG,2437548,,,unknown_numeric,unknown,cột số không tên — cần sequence,paper_ready50
AXO,GWD66_21815,1.0,538.8079911579638,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,EEK86_04735,1.0,725.3697516615691,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,FMQ12_20785,1.0,538.8079911579638,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,FKE51_24750,1.0,797.9399612731468,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,ET461_23055,1.0,540.220464096003,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,GXL71_23300,1.0,540.220464096003,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,group_8256,1.0,759.1622949945075,unknown_roary_group,unknown,Roary pangenome group không tên — cần sequence,accessory_stability
AXO,C4F01_23125,1.0,540.220464096003,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,GSD29_004597,1.0,540.220464096003,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,GXA66_17220,1.0,540.220464096003,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,GWD66_21170,1.0,540.220464096003,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,CJW07_22695,1.0,540.220464096003,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,CYN48_22375,1.0,551.0491685224413,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,GY345_004353,1.0,552.1531306088494,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,F6X18_22455,1.0,551.0491685224413,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,M5389_004554,1.0,551.0491685224413,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,HWZ53_004454,1.0,551.0491685224413,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,GXL71_23350,1.0,551.0491685224413,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,C0692_22305,1.0,551.0491685224413,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,JM244_004475,1.0,538.8079911579638,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,F6X18_22510,1.0,538.8079911579638,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,FKE51_11035,1.0,538.8079911579638,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,group_8618,1.0,538.8079911579638,unknown_roary_group,unknown,Roary pangenome group không tên — cần sequence,accessory_stability
AXO,FKE51_11045,1.0,538.8079911579638,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,C4F01_21455,1.0,538.8079911579638,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,group_2239,1.0,607.8672942745682,unknown_roary_group,unknown,Roary pangenome group không tên — cần sequence,accessory_stability
AXO,I5A61_003872,1.0,538.8079911579638,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,GWD66_21820,1.0,538.8079911579638,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,CJ664_22795,1.0,540.220464096003,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,HWZ53_004102,0.92,534.7886430486486,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,GXL71_23785,0.92,534.7886430486486,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,I5A61_004306,0.92,534.7886430486486,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,FIW37_19435,0.92,534.7886430486486,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,EUY04_17740,0.92,530.3026563169316,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,C3T99_23370,0.92,530.3026563169316,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,CJ664_24160,0.92,530.3026563169316,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,EEO94_23850,0.88,529.6140401630287,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,E2U96_22865,0.76,529.2690588390423,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,CBR12_22525,0.76,529.2690588390423,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,EUY04_17625,0.56,515.6192065690451,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AXO,FKE51_24750,,,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,paper_ready50
AXO,group_8256,,,unknown_roary_group,unknown,Roary pangenome group không tên — cần sequence,paper_ready50
AXO,merT,,,mercury,indirect,mercury resistance operon (co-selection marker),paper_ready50
AXO,merA,,,mercury,indirect,mercury resistance operon (co-selection marker),paper_ready50
